node_id,lat_centro,lon_centro,n_accidentes,n_graves,n_mortales,n_alcohol,sensores_imd_500m,idx_peligrosidad,categoria
PN_0000,40.419119163398214,-3.6937974857499913,195,33,3,17,76,0.8749,CRITICO
PN_0001,40.39209353987775,-3.677028929578656,256,17,2,9,58,0.7084,CRITICO
PN_0002,40.4069410756016,-3.68892949942288,276,23,0,9,46,0.6591,CRITICO
PN_0003,40.398794894704075,-3.66890496767444,187,20,2,13,54,0.656,CRITICO
PN_0004,40.40893615179571,-3.6921363871376607,262,22,0,13,56,0.6516,CRITICO
PN_0005,40.39823561592718,-3.6691028575856404,237,19,0,14,56,0.5929,CRITICO
PN_0006,40.438855695447906,-3.678968827928718,186,27,0,12,95,0.5793,CRITICO
PN_0007,40.419937345905225,-3.6889822316971457,210,22,0,11,59,0.5637,CRITICO
PN_0008,40.43802566555034,-3.690859599874544,168,20,1,7,53,0.528,CRITICO
PN_0009,40.4296978832329,-3.706060549245325,157,30,0,5,59,0.5249,CRITICO
PN_0010,40.42486775689117,-3.690284416781692,138,20,0,16,52,0.467,CRITICO
PN_0011,40.451859855948506,-3.690829876664334,133,21,0,12,76,0.4465,CRITICO
PN_0012,40.43112895014095,-3.6610107501179647,187,15,0,6,90,0.4383,CRITICO
PN_0013,40.43667336926777,-3.7211372264015665,165,10,0,18,39,0.4271,CRITICO
PN_0014,40.4319562933227,-3.67203785278696,95,23,1,3,63,0.4253,CRITICO
PN_0015,40.43505391101369,-3.6750092745171665,129,18,0,13,79,0.4189,CRITICO
PN_0016,40.437916493391924,-3.690095552037525,153,12,1,4,55,0.4164,CRITICO
PN_0017,40.44615316927541,-3.691062046421298,142,14,0,15,51,0.4128,CRITICO
PN_0018,40.4588926967684,-3.689986876899663,150,14,0,8,119,0.3857,CRITICO
PN_0019,40.42900734181473,-3.7020677291436113,116,12,1,8,48,0.384,CRITICO
PN_0020,40.39283627251374,-3.677000908474876,166,11,0,6,56,0.371,CRITICO
PN_0021,40.42480258276037,-3.6758431977539856,120,18,0,6,62,0.3667,CRITICO
PN_0022,40.40093227746796,-3.699073997873228,138,10,1,1,89,0.3594,CRITICO
PN_0023,40.421697247409696,-3.7079491932195054,89,9,2,3,66,0.3558,CRITICO
PN_0024,40.44115345263104,-3.6919547615477453,101,13,1,5,45,0.3543,CRITICO
PN_0025,40.398075192882466,-3.669764133632451,144,11,0,8,54,0.3496,CRITICO
PN_0026,40.44083168899554,-3.6809960842108054,94,16,1,1,70,0.349,CRITICO
PN_0027,40.39403045863157,-3.6740938432045285,142,13,0,5,46,0.3482,CRITICO
PN_0028,40.42203066233152,-3.713113568499289,135,12,0,8,85,0.3454,CRITICO
PN_0029,40.41507933566745,-3.694148144871875,125,15,0,5,67,0.3413,CRITICO
PN_0030,40.419159560735196,-3.693078598062029,136,13,0,5,73,0.3393,CRITICO
PN_0031,40.429625831595544,-3.7052909199626236,111,20,0,0,56,0.3383,CRITICO
PN_0032,40.4351716655101,-3.688855766022649,142,12,0,4,68,0.3335,CRITICO
